Comment,Designator,Footprint,LCSC
"22uF","C1,C10","Capacitor_SMD:C_0805_2012Metric","C45783"
"100nF","C2,C4,C7,C9","Capacitor_SMD:C_0603_1608Metric","C14663"
"C","C3,C5","Capacitor_SMD:C_1206_3216Metric","C342620"
"SUF4007","D1,D3,D4,D5,D6,D9","Diode_SMD:D_MELF","C212757"
"1N4007","D2,D7,D8,D10","Diode_SMD:D_SOD-123F","C181127"
"796949-2","J1,J2,J3,J4,J5","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",""
"TPH4R008NH,L1Q(M","Q1,Q2,Q5,Q6","driver_board:SOP-8-1EP_4.57x4.57mm_P1.27mm_EP4.57x4.45mm_ThermalVias","C396039"
"1kR","R1,R2,R3,R17","Resistor_SMD:R_2512_6332Metric","C54315"
"10R","R4,R5,R9,R10","Resistor_SMD:R_2512_6332Metric","C47019"
"IR2110S","U1,U2","driver_board:SOIC-16W_7.5x10.3mm_P1.27mm_R90","C2968"